,energy_100g,fat_100g,saturated-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,vitamin-a_100g,vitamin-c_100g,calcium_100g,iron_100g,score
50885,3105.0,47.56666666666667,6.3,0.2194070080862533,0.0134210526315789,11.5,1.4,0.0,1.2,1.2,0.47244094488189,0.0006324817518248,0.0825157232704402,0.2455557851239669,0.0098808755760368,E
10675,163.4,2.1,0.3,0.0,0.0048932926829268,4.9,0.9,0.75,0.5,0.5,0.196850393700787,0.00012876,0.0247726315789473,0.1053932584269662,0.0058795698924731,B
9961,50.0,0.0,0.0,0.0,0.0157774390243902,11.0,11.0,0.0,0.0,0.0,0.0,0.0002846315789473,0.0352789699570815,0.1772727272727272,0.004244012605042,B
49081,2145.0,25.0,17.0,0.0565079365079365,0.0103073620071684,65.0,30.0,1.6,6.0,0.875,0.344488188976378,0.0005077393075356,0.0264246987951807,0.1350902366863905,0.0045253654342218,E
28738,782.0,13.5,8.7,0.0189233278955954,0.0,0.0,0.0,1.0,7.1,0.0,0.0,5.322334384858047e-05,0.0382647058823529,0.2543243243243243,0.0063432432432432,C
11324,833.0,15.0,1.7,0.0,0.0,10.0,0.4,3.9,4.5,1.4,0.551181102362205,0.00106625,0.0309983079526226,0.12,0.0048702209131075,B
11373,898.0,10.0,2.0,0.0,0.000309661436829,18.0,1.6,0.5,12.0,1.1,0.433070866141732,0.00097,0.0346463620981387,0.1212745098039215,0.0051675405007363,B
50965,1601.0,24.0,12.1,0.0769230769230769,0.0007894736842105,52.0,0.0,1.44,8.25,3.0,1.18110236220472,0.0006529197080291,0.0862533692722372,0.1193342975206611,0.0050990654205607,E
26834,1032.0,16.0,4.0,0.4853466761972838,0.0188886618998978,19.0,1.9,1.9,6.0,1.26,0.496062992125984,0.00012,0.0231578947368421,0.3128571428571428,0.0080285714285714,C
19198,755.0,8.5,6.1,0.3554285714285714,0.0118666666666666,23.2,16.8,1.1,1.9,0.1016,0.04,0.0002517032967032,0.0226496815286624,0.1348484848484848,0.0010953191489361,C
41022,1013.0,6.824999999999999,0.1,0.0044977511244377,0.0009186666666666,46.0,51.0,0.0,0.5,0.0299999999999999,0.0118110236220472,0.0002796332678454,0.085884476534296,0.0906084656084656,0.0036910569105691,D
27505,538.0,3.6,2.2,0.0057183702644746,0.0359549019607843,20.0,13.0,0.0,3.5,0.1778,0.07,9.000000000000002e-06,0.0004799999999999,0.1253536977491961,0.0036931818181818,C
49666,2448.0,26.933333333333334,6.0,0.0258227848101265,0.0026386200716845,50.73333333333333,41.0,0.0,8.0,0.1,0.0393700787401575,0.0005375254582484,0.0489056603773584,0.2102913385826771,0.005825,E
40290,1022.0,0.1,0.0,0.0938231469440832,0.0,59.0,59.0,1.1,0.4,0.0,0.0,0.0003074630113141,0.0361675617615467,0.2561046511627907,0.0034173913043478,D
32515,979.0,20.0,7.8,0.0725753506415995,0.0090423420443268,2.6,1.6,0.0,11.0,2.1,0.826771653543307,0.0007442451523545,0.053735632183908,0.8808888888888888,0.0144403183023872,D
5763,267.0,0.2,0.0,0.0028688524590163,0.0,13.9,11.0,2.4,0.3,0.01,0.0039370078740157,0.0010665618448637,0.0371718749999999,0.12,0.0038247987616099,A
29774,271.0,2.0,0.5,0.611111111111111,0.0,6.8,6.5,6.2333333333333325,3.8,1.11,0.437007874015748,0.000801125,0.017628664495114,0.1041261467889908,0.0056267278287461,C
20265,1558.0,8.2,3.8,0.2264705882352941,0.0,57.0,21.0,3.7,19.0,0.00059,0.0002322834645669,0.0002720888888888,0.047,0.298,0.006,C
3195,184.0,1.4666666666666668,0.1,0.0139391143911439,0.0007278195488721,11.95,6.1,2.4,1.7,0.4,0.15748031496063,0.0004643715023676,0.0135462427745664,0.1280575539568345,0.0045495912806539,A
41596,1966.0,20.0,4.7,0.1582568807339449,0.0,64.0,4.5,4.1,11.0,2.4,0.944881889763779,0.0001480681074001,0.0454765342960288,0.5604761904761905,0.0076931818181818,D
16273,923.0,11.2,1.1,0.1104011887072808,0.0229206349206349,16.2,0.5,0.36,12.9,0.499999999999999,0.196850393700787,0.0001197806451612,0.0066132963988919,0.12,0.002034,B
17039,431.0,6.75,0.1,0.0119799498746867,0.0202517482517482,32.166666666666664,0.0,0.0,24.0,1.0,0.393700787401575,6.511848341232227e-05,0.0472276785714285,0.119004329004329,0.0056304823788546,B
51785,1414.0,26.0,20.0,0.0,0.0428181818181818,23.5,0.8,0.0,20.0,2.0,0.78740157480315,7.813081395348836e-05,0.0096366279069767,0.2702911208151383,0.0007709302325581,E
20331,493.0,3.3,1.3,0.9786476868327402,0.0,0.8,0.8,0.0,21.0,1.905,0.75,0.0007430697674418,0.0165886363636363,0.13,0.0016280898876404,C
2919,1600.0,2.5,0.5,0.0126660516605166,0.0005203007518796,81.5,1.0,3.1,7.6,0.100076,0.0394,0.0005046487300904,0.0127485549132947,0.1256140350877193,0.0062429223744292,A
46826,2058.0,21.0,14.0,0.3805739514348786,0.0712,68.0,25.0,2.6,6.5,0.58,0.228346456692913,3.2000000000000005e-05,0.0035658914728682,0.0561330049261083,0.001170238095238,E
2677,135.0,6.6,2.7,0.0115498154981549,0.0003383458646616,7.7,0.3,2.9,9.7,1.1176,0.44,0.00053996427034,0.0120491329479768,0.1596103896103896,0.0038688442211055,A
36655,2653.0,26.16,4.0,0.3561610486891386,0.0262985948477751,60.94,1.5,0.0,25.4,1.6,0.62992125984252,0.0003266903939184,5.123981264637002e-05,0.1934489361702127,0.0025096721311475,D
8043,1594.0,2.15,1.0,0.0,0.0,77.5,15.0,4.6,7.7,0.05,0.0196850393700787,1.6458810068649886e-05,0.0153041237113402,0.119928901734104,0.004046037735849,A
34482,997.0,25.0,1.9,0.0,0.0552404895798875,3.4,1.1,0.5,0.6,1.9,0.748031496062992,0.0005271710435383,0.0567150326797385,0.7052631578947369,0.0062666666666666,D
11292,1160.0,4.3,0.4,0.0,0.0,49.2,6.5,2.5,8.5,1.07442,0.423,0.0010005607476635,0.0286159052453468,0.12,0.0046760530191458,B
44050,2711.0,53.9,7.1,0.2941273408239701,0.0577540106951871,16.2,6.1,1.25,22.4,1.9,0.748031496062992,0.0001579234011627,0.0016946220930232,0.1214938488576449,0.0026691243654822,E
19499,1000.0,0.1,0.0,0.1299136442141623,0.0122563106796116,40.0,57.0,3.4,0.7,0.0,0.0,0.0002190909090909,0.023027027027027,0.1472043010752688,0.0043338551859099,C
31880,1435.0,1.7,1.1,0.0536257833482542,0.0,76.5,22.5,2.0,4.1,1.25,0.492125984251968,0.0005021028037383,0.0647412587412587,0.9478688524590164,0.0069132947976878,D
34941,1021.0,0.5,0.0,0.0,0.0660208402249421,59.0,59.0,1.2,0.5,0.01,0.0039370078740157,0.0004848237733241,0.0421650326797385,1.0,0.007,D
33821,597.0,8.9,3.8,0.0,0.0397158451869004,1.6,1.6,0.0,14.2,2.66,1.04724409448819,0.0005881548030407,0.0652097989949748,0.2585384615384615,0.0049015228426395,D
41406,954.0,12.85,0.0,0.0711009174311926,0.0,39.15,53.0,0.0,1.0,0.0,0.0,0.0001916175507531,0.0588519855595667,0.6046402116402116,0.0082327586206896,D
31180,1812.0,13.0,7.9,0.0327364965681886,0.0,63.0,11.0,3.7,13.0,0.96,0.377952755905512,0.0003947355163727,0.056218,0.4825320512820513,0.0042311557788944,D
20701,293.0,5.9,0.001,0.5397390272835112,0.0,54.5,53.0,0.0,1.2,0.11,0.0433070866141732,0.00012,0.022,0.36125,0.0071811594202898,C
37138,1961.0,24.0,2.0,0.5676855895196506,0.0114385135135135,49.0,48.0,4.5,12.0,0.1,0.0393700787401575,0.0002522189944134,3.212393397524072e-05,0.2996240601503759,0.0073705882352941,D
5483,1402.0,2.25,0.8,0.0066939890710382,0.0,56.75,3.8,10.8,13.3,0.01,0.0039370078740157,0.0011558742058449,0.0869375,0.119267175572519,0.0072506329113924,A
47748,3757.0,23.15,13.8,0.8144181091877497,0.0073168789808917,30.45,0.0,0.0,0.0,0.0,0.0,0.0003822422360248,0.0530163981366459,0.0880633757961783,0.0035890993788819,E
36192,1849.0,46.4,2.71,0.0223501872659176,0.0039385474860335,12.0,45.8,5.1,9.7,0.02,0.0078740157480315,0.0003694067035245,0.0025091503267973,0.7895000000000001,0.0024113924050632,D
48910,2200.0,31.0,20.0,0.0746031746031746,0.0125489942652329,51.0,45.0,9.0,7.0,0.05588,0.022,0.000502788259958,0.0382710843373493,0.1611764705882352,0.0053340498710232,E
2285,645.0,9.0,1.5,0.0097416974169741,4.3609022556390975e-05,2.1,0.4,0.5,16.0,0.5,0.196850393700787,0.0004518285714285,0.023338028169014,0.12,0.0035486486486486,A
33712,1665.0,10.3,21.0,0.0,0.0371558054912338,32.650000000000006,0.5,0.0,26.6,0.81,0.318897637795276,0.0005788181818181,0.0587738693467336,0.7152542372881356,0.0064861702127659,D
5289,142.0,0.0,0.0,0.0093442622950819,0.0,7.9,6.2,1.8,0.5,0.0,0.0,0.000870420584498,0.0619906666666666,0.12,0.0063774647887323,A
