"tconst","title","FirstGenre","genres","titleType","runtimeMinutes","isAdult","averageRating","numVotes","directors","primaryName","birthYear","deathYear","primaryProfession"
"tt8205176","Duck: A Film by Kevin Bacon","Comedy","Comedy,Short","short","7","0",7.4,85,"nm0000102","Kevin Bacon","1958",NA,"actor,producer,soundtrack"
"tt9206798","All Is True","Biography","Biography,Drama,History","movie","101","0",6.3,5252,"nm0000110","Kenneth Branagh","1960",NA,"actor,producer,director"
"tt7969930","Scener ur natten","Drama","Drama,Short","short","16","0",6.2,41,"nm0000278","Pernilla August","1958",NA,"actress,director,writer"
"tt2404639","The Happy Prince","Biography","Biography,Drama","movie","105","0",6.3,5771,"nm0000391","Rupert Everett","1959",NA,"actor,soundtrack,producer"
"tt7949046","Paradox","Fantasy","Fantasy,Music","movie","73","0",4,774,"nm0000435","Daryl Hannah","1960",NA,"actress,producer,soundtrack"
"tt6162716","Life with Dog","Drama","Drama","movie","106","0",5.8,122,"nm0000929","Corbin Bernsen","1954",NA,"actor,producer,writer"
"tt8758548","The Great Buster","Biography","Biography,Comedy,Documentary","movie","102","0",7.5,2242,"nm0000953","Peter Bogdanovich","1939","2022","actor,director,writer"
"tt4269118","Seven in Heaven","Drama","Drama,Horror,Mystery","movie","94","0",5.4,2886,"nm0001177","Chris Eigeman","1965",NA,"actor,director,writer"
"tt9101692","Christmas Around the Corner","Comedy","Comedy,Drama,Romance","tvMovie","87","0",6.6,1662,"nm0001227","Megan Follows","1968",NA,"actress,director,producer"
"tt6957316","Bobcat Goldthwait's Misfits & Monsters","Comedy","Comedy,Drama,Fantasy","tvSeries","25","0",6.9,540,"nm0001281","Bobcat Goldthwait","1962",NA,"director,actor,writer"
"tt8342748","Hari Kondabolu: Warn Your Relatives","Comedy","Comedy","tvSpecial","67","0",6.7,926,"nm0001281","Bobcat Goldthwait","1962",NA,"director,actor,writer"
"tt9203030","Loudon Wainwright III: Surviving Twin","Documentary","Documentary,Music","movie","91","0",7.1,107,"nm0001302","Christopher Guest","1948",NA,"actor,writer,soundtrack"
"tt3920820","Brian Banks","Biography","Biography,Drama,Sport","movie","99","0",7.2,8085,"nm0001723","Tom Shadyac","1958",NA,"producer,director,actor"
"tt6645584","The Austere Academy: Part One","Adventure","Adventure,Comedy,Drama","tvEpisode","46","0",7.9,1370,"nm0001756","Barry Sonnenfeld","1953",NA,"producer,director,cinematographer"
"tt9544792","Looop","Animation","Animation,Short","short","5","0",5.6,20,"nm0001988","Marc Caro","1956",NA,"director,writer,actor"
"tt3203528","Bad Samaritan","Crime","Crime,Horror,Thriller","movie","110","0",6.4,25492,"nm0002041","Dean Devlin","1962",NA,"producer,writer,actor"
"tt6990766","Cyber 9/11","Horror","Horror,Short","short","17","0",8.6,61,"nm0002916","Ray Brady","1961",NA,"director,writer,producer"
