date;libelle
2019-01-01;Vacances Noel 2018
2019-01-02;Vacances Noel 2018
2019-01-03;Vacances Noel 2018
2019-01-04;Vacances Noel 2018
2019-01-05;Vacances Noel 2018
2019-01-06;Vacances Noel 2018
2019-02-23;Vacances Hiver
2019-02-24;Vacances Hiver
2019-02-25;Vacances Hiver
2019-02-26;Vacances Hiver
2019-02-27;Vacances Hiver
2019-02-28;Vacances Hiver
2019-03-01;Vacances Hiver
2019-03-02;Vacances Hiver
2019-03-03;Vacances Hiver
2019-03-04;Vacances Hiver
2019-03-05;Vacances Hiver
2019-03-06;Vacances Hiver
2019-03-07;Vacances Hiver
2019-03-08;Vacances Hiver
2019-03-09;Vacances Hiver
2019-03-10;Vacances Hiver
2019-04-20;Vacances Printemps
2019-04-21;Vacances Printemps
2019-04-22;Vacances Printemps
2019-04-23;Vacances Printemps
2019-04-24;Vacances Printemps
2019-04-25;Vacances Printemps
2019-04-26;Vacances Printemps
2019-04-27;Vacances Printemps
2019-04-28;Vacances Printemps
2019-04-29;Vacances Printemps
2019-04-30;Vacances Printemps
2019-05-01;Vacances Printemps
2019-05-02;Vacances Printemps
2019-05-03;Vacances Printemps
2019-05-04;Vacances Printemps
2019-05-05;Vacances Printemps
2019-05-29;Pont de l'ascenssion
2019-05-30;Pont de l'ascenssion
2019-05-31;Pont de l'ascenssion
2019-06-01;Pont de l'ascenssion
2019-06-02;Pont de l'ascenssion
2019-07-06;Vacances Eté
2019-07-07;Vacances Eté
2019-07-08;Vacances Eté
2019-07-09;Vacances Eté
2019-07-10;Vacances Eté
2019-07-11;Vacances Eté
2019-07-12;Vacances Eté
2019-07-13;Vacances Eté
2019-07-14;Vacances Eté
2019-07-15;Vacances Eté
2019-07-16;Vacances Eté
2019-07-17;Vacances Eté
2019-07-18;Vacances Eté
2019-07-19;Vacances Eté
2019-07-20;Vacances Eté
2019-07-21;Vacances Eté
2019-07-22;Vacances Eté
2019-07-23;Vacances Eté
2019-07-24;Vacances Eté
2019-07-25;Vacances Eté
2019-07-26;Vacances Eté
2019-07-27;Vacances Eté
2019-07-28;Vacances Eté
2019-07-29;Vacances Eté
2019-07-30;Vacances Eté
2019-07-31;Vacances Eté
2019-08-01;Vacances Eté
2019-08-02;Vacances Eté
2019-08-03;Vacances Eté
2019-08-04;Vacances Eté
2019-08-05;Vacances Eté
2019-08-06;Vacances Eté
2019-08-07;Vacances Eté
2019-08-08;Vacances Eté
2019-08-09;Vacances Eté
2019-08-10;Vacances Eté
2019-08-11;Vacances Eté
2019-08-12;Vacances Eté
2019-08-13;Vacances Eté
2019-08-14;Vacances Eté
2019-08-15;Vacances Eté
2019-08-16;Vacances Eté
2019-08-17;Vacances Eté
2019-08-18;Vacances Eté
2019-08-19;Vacances Eté
2019-08-20;Vacances Eté
2019-08-21;Vacances Eté
2019-08-22;Vacances Eté
2019-08-23;Vacances Eté
2019-08-24;Vacances Eté
2019-08-25;Vacances Eté
2019-08-26;Vacances Eté
2019-08-27;Vacances Eté
2019-08-28;Vacances Eté
2019-08-29;Vacances Eté
2019-08-30;Vacances Eté
2019-08-31;Vacances Eté
2019-09-01;Vacances Eté
2019-10-19;Vacances de la Toussaint
2019-10-20;Vacances de la Toussaint
2019-10-21;Vacances de la Toussaint
2019-10-22;Vacances de la Toussaint
2019-10-23;Vacances de la Toussaint
2019-10-24;Vacances de la Toussaint
2019-10-25;Vacances de la Toussaint
2019-10-26;Vacances de la Toussaint
2019-10-27;Vacances de la Toussaint
2019-10-28;Vacances de la Toussaint
2019-10-29;Vacances de la Toussaint
2019-10-30;Vacances de la Toussaint
2019-10-31;Vacances de la Toussaint
2019-11-01;Vacances de la Toussaint
2019-11-02;Vacances de la Toussaint
2019-11-03;Vacances de la Toussaint
2019-12-21;Vacances Noel 2019
2019-12-22;Vacances Noel 2019
2019-12-23;Vacances Noel 2019
2019-12-24;Vacances Noel 2019
2019-12-25;Vacances Noel 2019
2019-12-26;Vacances Noel 2019
2019-12-27;Vacances Noel 2019
2019-12-28;Vacances Noel 2019
2019-12-29;Vacances Noel 2019
2019-12-30;Vacances Noel 2019
2019-12-31;Vacances Noel 2019
2019-01-01;Jour de l'an
2019-05-30;Ascenssion
2019-11-01;Toussaint
2019-04-22;Paques
2019-06-10;Pentecote
2019-11-11;Armistice
2019-05-01;Fete du travail
2019-07-14;Fete Nationale
2019-12-25;Jour de Noel
2019-05-08;Victoire 39-45
2019-08-15;Assomption
2023-01-01;Vacances Noel 2022
2023-01-02;Vacances Noel 2022
2023-02-18;Vacances Hiver
2023-02-19;Vacances Hiver
2023-02-20;Vacances Hiver
2023-02-21;Vacances Hiver
2023-02-22;Vacances Hiver
2023-02-23;Vacances Hiver
2023-02-24;Vacances Hiver
2023-02-25;Vacances Hiver
2023-02-26;Vacances Hiver
2023-02-27;Vacances Hiver
2023-02-28;Vacances Hiver
2023-03-01;Vacances Hiver
2023-03-02;Vacances Hiver
2023-03-03;Vacances Hiver
2023-03-04;Vacances Hiver
2023-03-05;Vacances Hiver
2023-04-22;Vacances Printemps
2023-04-23;Vacances Printemps
2023-04-24;Vacances Printemps
2023-04-25;Vacances Printemps
2023-04-26;Vacances Printemps
2023-04-27;Vacances Printemps
2023-04-28;Vacances Printemps
2023-04-29;Vacances Printemps
2023-04-30;Vacances Printemps
2023-05-01;Vacances Printemps
2023-05-02;Vacances Printemps
2023-05-03;Vacances Printemps
2023-05-04;Vacances Printemps
2023-05-05;Vacances Printemps
2023-05-06;Vacances Printemps
2023-05-07;Vacances Printemps
2023-05-08;Vacances Printemps
2023-07-08;Vacances Eté
2023-07-09;Vacances Eté
2023-07-10;Vacances Eté
2023-07-11;Vacances Eté
2023-07-12;Vacances Eté
2023-07-13;Vacances Eté
2023-07-14;Vacances Eté
2023-07-15;Vacances Eté
2023-07-16;Vacances Eté
2023-07-17;Vacances Eté
2023-07-18;Vacances Eté
2023-07-19;Vacances Eté
2023-07-20;Vacances Eté
2023-07-21;Vacances Eté
2023-07-22;Vacances Eté
2023-07-23;Vacances Eté
2023-07-24;Vacances Eté
2023-07-25;Vacances Eté
2023-07-26;Vacances Eté
2023-07-27;Vacances Eté
2023-07-28;Vacances Eté
2023-07-29;Vacances Eté
2023-07-30;Vacances Eté
2023-07-31;Vacances Eté
2023-08-01;Vacances Eté
2023-08-02;Vacances Eté
2023-08-03;Vacances Eté
2023-08-04;Vacances Eté
2023-08-05;Vacances Eté
2023-08-06;Vacances Eté
2023-08-07;Vacances Eté
2023-08-08;Vacances Eté
2023-08-09;Vacances Eté
2023-08-10;Vacances Eté
2023-08-11;Vacances Eté
2023-08-12;Vacances Eté
2023-08-13;Vacances Eté
2023-08-14;Vacances Eté
2023-08-15;Vacances Eté
2023-08-16;Vacances Eté
2023-08-17;Vacances Eté
2023-08-18;Vacances Eté
2023-08-19;Vacances Eté
2023-08-20;Vacances Eté
2023-08-21;Vacances Eté
2023-08-22;Vacances Eté
2023-08-23;Vacances Eté
2023-08-24;Vacances Eté
2023-08-25;Vacances Eté
2023-08-26;Vacances Eté
2023-08-27;Vacances Eté
2023-08-28;Vacances Eté
2023-08-29;Vacances Eté
2023-08-30;Vacances Eté
2023-08-31;Vacances Eté
2023-09-01;Vacances Eté
2023-09-02;Vacances Eté
2023-09-03;Vacances Eté
2023-10-21;Vacances de la Toussaint
2023-10-22;Vacances de la Toussaint
2023-10-23;Vacances de la Toussaint
2023-10-24;Vacances de la Toussaint
2023-10-25;Vacances de la Toussaint
2023-10-26;Vacances de la Toussaint
2023-10-27;Vacances de la Toussaint
2023-10-28;Vacances de la Toussaint
2023-10-29;Vacances de la Toussaint
2023-10-30;Vacances de la Toussaint
2023-10-31;Vacances de la Toussaint
2023-11-01;Vacances de la Toussaint
2023-11-02;Vacances de la Toussaint
2023-11-03;Vacances de la Toussaint
2023-11-04;Vacances de la Toussaint
2023-11-05;Vacances de la Toussaint
2023-12-23;Vacances Noel 2019
2023-12-24;Vacances Noel 2019
2023-12-25;Vacances Noel 2019
2023-12-26;Vacances Noel 2019
2023-12-27;Vacances Noel 2019
2023-12-28;Vacances Noel 2019
2023-12-29;Vacances Noel 2019
2023-12-30;Vacances Noel 2019
2023-12-31;Vacances Noel 2019
2023-01-01;Jour de l'an
2023-05-18;Ascenssion
2023-11-01;Toussaint
2023-04-10;Paques
2023-05-29;Pentecote
2023-11-11;Armistice
2023-05-01;Fete du travail
2023-07-14;Fete Nationale
2023-12-25;Jour de Noel
2023-05-08;Victoire 39-45
2023-08-15;Assomption
